xflr5 v6.47

Plane name :        Plane Name
Polar name :        T1-400.0 m/s-VLM2-0.5kg-x-0.2m-z-0.0m-Inviscid
Freestream speed : 400.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   20.000     0.000   1.998044  -0.035337   0.000000  -0.035337   0.000000  -0.000000  -4.680219  -0.000000  -0.000000  400.0000     0.1830
   20.500     0.000   2.041822  -0.036748   0.000000  -0.036748   0.000000  -0.000000  -4.767495  -0.000000  -0.000000  400.0000     0.1828
   21.000     0.000   2.085480  -0.038173   0.000000  -0.038173   0.000000  -0.000000  -4.853504  -0.000000  -0.000000  400.0000     0.1827
   21.500     0.000   2.129017  -0.039611   0.000000  -0.039611   0.000000  -0.000000  -4.938220  -0.000000  -0.000000  400.0000     0.1826
   22.000     0.000   2.172429  -0.041061   0.000000  -0.041061   0.000000  -0.000000  -5.021618  -0.000000  -0.000000  400.0000     0.1824
   22.500     0.000   2.215714  -0.042521   0.000000  -0.042521   0.000000  -0.000000  -5.103671  -0.000000  -0.000000  400.0000     0.1823
   23.000     0.000   2.258868  -0.043990   0.000000  -0.043990   0.000000  -0.000000  -5.184356  -0.000000  -0.000000  400.0000     0.1822
   23.500     0.000   2.301889  -0.045468   0.000000  -0.045468   0.000000  -0.000000  -5.263647  -0.000000  -0.000000  400.0000     0.1820
   24.000     0.000   2.344773  -0.046953   0.000000  -0.046953   0.000000  -0.000000  -5.341519  -0.000000  -0.000000  400.0000     0.1819
   24.500     0.000   2.387518  -0.048443   0.000000  -0.048443   0.000000  -0.000000  -5.417951  -0.000000  -0.000000  400.0000     0.1818
   25.000     0.000   2.430120  -0.049939   0.000000  -0.049939   0.000000  -0.000000  -5.492918  -0.000000  -0.000000  400.0000     0.1817
   25.500     0.000   2.472576  -0.051439   0.000000  -0.051439   0.000000  -0.000000  -5.566397  -0.000000  -0.000000  400.0000     0.1816
   26.000     0.000   2.514884  -0.052941   0.000000  -0.052941   0.000000  -0.000000  -5.638366  -0.000000  -0.000000  400.0000     0.1814
   26.500     0.000   2.557041  -0.054445   0.000000  -0.054445   0.000000  -0.000000  -5.708803  -0.000000  -0.000000  400.0000     0.1813
   27.000     0.000   2.599043  -0.055949   0.000000  -0.055949   0.000000  -0.000000  -5.777686  -0.000000  -0.000000  400.0000     0.1812
   27.500     0.000   2.640886  -0.057452   0.000000  -0.057452   0.000000  -0.000000  -5.844996  -0.000000  -0.000000  400.0000     0.1811
   28.000     0.000   2.682569  -0.058953   0.000000  -0.058953   0.000000  -0.000000  -5.910710  -0.000000  -0.000000  400.0000     0.1810
   28.500     0.000   2.724088  -0.060451   0.000000  -0.060451   0.000000  -0.000000  -5.974810  -0.000000  -0.000000  400.0000     0.1808
   29.000     0.000   2.765440  -0.061945   0.000000  -0.061945   0.000000  -0.000000  -6.037275  -0.000000  -0.000000  400.0000     0.1807
   29.500     0.000   2.806621  -0.063433   0.000000  -0.063433   0.000000  -0.000000  -6.098086  -0.000000  -0.000000  400.0000     0.1806
   30.000     0.000   2.847629  -0.064915   0.000000  -0.064915   0.000000  -0.000000  -6.157226  -0.000000  -0.000000  400.0000     0.1805


